n,house,utility,demand,choice
3,West Wing,0,1,demand
3,West Wing,0,1,demand
3,West Wing,0,1,demand
3,West Wing,1,0,value
3,West Wing,1,0,value
3,West Wing,0,1,demand
3,West Wing,0,1,demand
3,West Wing,0,1,demand
3,West Wing,0,1,demand
3,West Wing,0,1,demand
5,KiJung,0,1,demand
5,KiJung,0,1,demand
5,KiJung,0,1,demand
5,KiJung,0,1,demand
3,Leland,0,1,demand
3,Leland,0,1,demand
3,Leland,1,0,value
3,Leland,1,0,value
3,Leland,1,0,value
3,Leland,0,1,demand
3,Leland,0,1,demand
3,Leland,1,0,value
3,Leland,1,0,value
3,Leland,0,1,demand
4,Cam’s,0,1,demand
