n,house,utility,price,
3,West Wing,1,0,
3,West Wing,1,0,
3,West Wing,0,1,
3,West Wing,1,0
3,West Wing,1,0
3,West Wing,1,0
3,West Wing,1,0
3,West Wing,1,0
3,West Wing,1,0
3,West Wing,1,0
4,East Wing,1,0,
4,East Wing,0,1,
4,East Wing,0,1
4,East Wing,1,0
5,KiJung,1,0,
5,KiJung,1,0,
5,KiJung,0,1,
5,KiJung,0,1,
3,Leland,0,1,
3,Leland,0,1,
3,Leland,0,1,
3,Leland,1,0,
3,Leland,1,0,
3,Leland,1,0,
3,Leland,0,1,
3,Leland,0,1,
3,Leland,1,0,
3,Leland,0,1,
3,Leland,0,1,
4,Cam’s,0,1,
4,Cam’s,0,1,
4,Cam’s,0,1,
4,Cam’s,1,0,
